%% weka file for methodology2 emotion

@relation Emotion
@attribute LEB1_CPLE1 numeric
@attribute LEB2_CPLE2 numeric
@attribute REB1_CPRE1 numeric
@attribute REB2_CPRE2 numeric
@attribute OPEN_LE1 numeric
@attribute OPEN_LE2 numeric
@attribute OPEN_RE1 numeric
@attribute OPEN_RE2 numeric
@attribute EXP_MO numeric
@attribute OPEN_MO1 numeric
@attribute OPEN_MO2 numeric
@attribute OPEN_MO3 numeric
@attribute NS_LPLIP numeric
@attribute NS_RPLIP numeric
@attribute betweenEyesWrinkles numeric
@attribute noseWrinkles numeric
@attribute label {anger, smile, sad, surprise, neutral, fear, disgust}

@data
16,14,14,15,12,12,13,13,78,29,27,29,42,46,70,179,anger
19,13,11,19,9,9,8,8,101,17,14,17,23,24,182,255,anger
19,14,12,18,9,9,9,9,99,19,16,19,23,23,198,254,anger
20,19,19,19,7,7,7,7,104,12,12,13,29,26,237,274,anger
20,19,18,19,8,8,7,7,103,14,13,14,27,24,190,247,anger
19,17,16,17,12,13,12,12,106,28,26,28,37,32,125,336,anger
19,17,15,17,13,14,13,13,107,28,26,28,38,33,138,311,anger
18,16,14,16,11,12,12,12,108,26,25,26,33,25,81,298,anger
19,18,15,18,11,12,10,10,99,26,23,26,33,25,85,287,anger
19,15,14,19,12,12,12,12,60,8,6,8,38,33,173,326,anger
15,12,12,16,9,9,9,9,96,2,1,3,11,5,148,79,anger
18,17,18,17,12,13,13,13,91,6,3,6,16,18,53,73,anger
18,13,13,20,11,11,10,10,83,19,16,17,22,17,59,82,anger
20,14,14,21,11,11,11,11,86,18,16,17,21,17,56,92,anger
18,16,17,20,16,16,16,16,107,9,6,9,35,27,17,175,anger
20,17,15,20,13,13,13,13,98,1,3,1,40,32,69,215,anger
16,12,12,16,11,12,12,12,94,26,23,25,27,30,49,106,anger
16,12,13,15,12,12,13,13,93,26,24,26,27,29,42,123,anger
15,12,13,16,12,11,12,12,89,27,25,27,32,29,68,140,anger
16,13,12,15,15,14,15,15,95,29,27,29,35,32,101,141,anger
15,13,13,15,15,15,15,15,88,27,24,27,33,32,85,132,anger
21,20,19,20,8,8,8,8,90,18,18,18,27,30,84,265,anger
21,20,19,20,7,7,6,6,88,17,16,17,28,30,119,291,anger
20,17,20,22,5,5,3,3,109,8,8,8,19,21,162,407,disgust
19,18,19,20,5,5,5,5,98,3,1,3,21,25,137,545,disgust
22,18,18,21,5,6,6,6,74,33,32,33,35,40,105,138,disgust
20,17,17,18,6,7,7,7,69,31,29,31,34,41,138,149,disgust
17,15,15,15,11,11,11,11,63,31,29,32,45,48,47,202,disgust
17,15,15,17,12,12,12,12,59,25,22,25,47,53,42,178,disgust
24,23,21,23,6,6,7,7,127,23,21,23,30,41,119,192,disgust
18,14,15,16,8,8,9,9,110,23,22,24,13,19,179,241,disgust
30,29,31,31,4,5,5,5,102,18,16,18,22,26,51,173,disgust
33,35,39,36,4,4,5,5,98,19,18,19,23,29,30,156,disgust
26,23,28,26,5,5,4,4,96,26,24,27,25,41,2,61,disgust
25,24,27,25,4,4,3,3,97,24,22,24,28,43,9,106,disgust
27,23,26,31,10,10,11,11,98,16,14,16,18,15,11,73,disgust
30,28,29,33,10,10,11,11,100,17,15,17,18,14,15,61,disgust
20,19,18,20,11,11,11,11,83,4,1,5,31,19,55,162,disgust
20,17,15,20,12,12,11,11,86,4,0,4,31,23,71,208,disgust
24,24,26,26,17,17,17,17,90,29,27,29,31,35,8,152,fear
23,22,25,24,16,16,16,16,84,28,27,29,33,34,10,173,fear
34,34,34,33,14,14,14,14,97,27,26,27,28,29,188,87,fear
29,25,25,27,13,13,13,13,99,22,20,23,35,36,128,279,fear
28,25,25,27,13,13,12,12,97,20,18,20,34,36,128,314,fear
25,22,22,24,14,14,14,14,97,25,24,24,30,28,46,181,fear
23,22,22,23,14,14,14,14,100,24,24,25,29,27,46,175,fear
21,19,22,21,17,17,16,16,83,24,23,24,30,34,17,142,fear
21,21,23,22,17,16,16,16,88,26,24,26,28,34,0,152,fear
20,20,18,19,16,16,16,16,88,27,25,27,35,28,16,240,fear
20,19,17,19,17,17,18,18,91,30,28,30,36,28,20,229,fear
31,29,29,31,11,12,10,10,57,6,2,5,38,35,64,350,fear
33,32,30,32,10,10,10,10,57,4,2,5,39,36,98,351,fear
34,35,35,33,18,18,20,20,109,27,26,28,39,34,0,152,fear
20,19,20,21,13,12,12,12,110,26,24,25,23,27,2,147,smile
19,18,19,21,11,10,10,10,106,26,24,26,22,26,20,181,smile
20,19,21,22,13,13,12,12,94,33,32,33,28,31,8,146,smile
21,19,21,21,13,12,13,13,95,33,32,33,30,33,1,157,smile
23,22,24,23,13,13,12,12,119,25,24,25,16,15,6,117,smile
28,27,26,28,9,8,7,7,119,25,24,25,17,13,34,95,smile
23,22,21,23,12,11,11,11,119,27,24,26,19,16,34,128,smile
22,21,21,22,12,12,11,11,113,30,28,29,18,14,35,106,smile
24,20,21,24,8,8,7,7,121,17,16,17,6,8,136,180,smile
24,20,20,24,10,10,9,9,117,16,15,16,7,8,143,225,smile
26,22,22,25,10,11,10,10,123,32,32,33,19,14,116,180,smile
25,23,22,25,10,10,10,10,123,29,28,29,19,13,81,179,smile
